Easting_km	Northing_km	LOS_mm
383.443744	4184.174125	-25.604451
388.075669	4182.306236	-23.658367
391.203318	4182.53957	-7.392328
388.167088	4186.080345	-16.564254
391.296773	4186.038383	0.114974
383.556441	4192.063203	-15.356934
389.811323	4191.976853	0.12158
383.668466	4199.953522	-2.59642
389.917328	4199.867117	13.031553
399.242036	4195.801351	15.179526
417.489955	4194.371552	11.902802
386.956751	4211.745329	7.322164
396.266293	4207.675788	21.395754
402.509045	4207.598877	34.302324
396.366598	4215.566183	13.807622
401.020178	4213.535418	37.467804
404.139281	4213.498139	57.229258
401.068105	4217.480621	28.071372
403.394598	4216.46624	52.241974
404.953581	4216.447895	70.552021
403.418004	4218.438843	43.636438
404.976609	4218.420495	68.795249
387.175828	4227.526456	-10.758426
396.467064	4223.45667	-5.990488
401.11607	4221.425847	2.110176
403.44142	4220.411452	23.741674
404.604306	4219.904508	44.576403
405.383466	4219.895408	67.465104
404.615874	4220.890813	28.889909
405.197299	4220.637404	47.484249
405.586843	4220.632872	61.500128
405.203048	4221.130557	33.26375
405.592569	4221.126025	40.910795
403.464844	4222.384066	-4.263012
404.627445	4221.877119	9.834386
405.406416	4221.868017	21.491881
404.639018	4222.863427	-6.644131
405.417894	4222.854324	-1.020212
401.164073	4225.371096	-26.337111
403.488278	4224.356686	-29.279705
404.650593	4223.849736	-21.810137
405.429375	4223.840633	-21.209681
404.66217	4224.836046	-40.361423
405.440858	4224.826942	-43.267917
403.511722	4226.329312	-47.078639
405.068814	4226.310953	-55.193469
396.56769	4231.347249	-24.130041
402.792298	4231.270197	-40.534135
407.168672	4205.571763	33.390354
410.290775	4205.536893	32.651402
407.213506	4209.516897	50.099462
410.3341	4209.482016	53.823464
413.41287	4205.503216	31.267088
416.534956	4205.470733	31.58135
413.454687	4209.448329	57.114717
416.575265	4209.415835	50.564561
406.467287	4212.484671	62.063634
408.027021	4212.466928	67.878798
406.48992	4214.457257	79.70228
408.049276	4214.439511	92.514962
409.586752	4212.449484	77.806644
411.146481	4212.432338	83.709896
409.608629	4214.422064	102.208667
411.167981	4214.404916	110.258788
406.512561	4216.429848	94.512939
408.071539	4216.4121	114.90719
