Easting_km	Northing_km	LOS_mm
381.327051	4197.754313	8.048582
384.437994	4197.4588	0.327684
387.55245	4197.163917	1.73588
390.668113	4196.8714	0.485233
393.758468	4196.733721	-2.114831
381.313235	4200.850519	13.64548
381.370466	4204.795728	9.029629
381.540819	4208.652611	7.957268
381.942219	4212.615645	8.333297
384.43735	4200.805813	6.748868
387.561454	4200.7623	6.177794
384.493074	4204.751008	10.256604
387.615671	4204.707481	10.288324
390.685548	4200.71998	2.428882
393.809631	4200.678853	-2.296036
390.738258	4204.665148	5.338619
393.860834	4204.624008	1.499639
384.548843	4208.696225	10.565678
387.669932	4208.652685	12.644625
384.604657	4212.641465	9.349469
387.724236	4212.597912	11.918642
390.79101	4208.610339	11.615544
393.912078	4208.569186	5.776201
390.843805	4212.555552	14.377262
393.963364	4212.514387	8.837551
396.884047	4196.6938	-2.94698
400.009616	4196.65507	1.673339
406.281495	4193.428898	1.679112
403.135176	4196.617534	2.62659
406.260726	4196.581189	0.139653
409.39519	4193.138055	5.501969
412.512453	4192.847696	7.474308
409.386267	4196.546037	2.394384
412.5118	4196.512077	7.248779
415.62007	4192.579594	12.376167
418.723754	4192.502715	12.40771
415.637324	4196.479309	14.698019
418.76284	4196.447734	12.662014
396.933704	4200.638919	-0.965333
400.057767	4200.600178	3.018412
396.9834	4204.584062	1.273521
400.105957	4204.545308	0.804266
403.181821	4200.562629	2.252353
406.305866	4200.526273	1.418866
403.228504	4204.507748	-0.65474
406.351041	4204.47138	1.215259
397.033136	4208.529227	1.989433
400.154185	4208.490461	-0.303452
397.082912	4212.474415	2.72982
400.202451	4212.435638	-6.072885
403.275224	4208.452889	-1.432306
406.396254	4208.416511	3.491717
403.321981	4212.398054	-6.842903
406.441502	4212.361664	0.107632
409.429901	4200.49111	4.940958
412.553928	4200.457139	10.671563
409.473571	4204.436206	5.299113
412.596091	4204.402225	10.55355
415.677947	4200.424361	12.658417
418.801958	4200.392776	9.941661
415.718603	4204.369437	12.674689
418.841108	4204.337841	9.942302
409.517275	4208.381326	9.786003
412.638287	4208.347334	17.581295
409.561014	4212.326468	11.182291
412.680517	4212.292466	23.386894
415.759292	4208.314535	20.598223
418.880288	4208.28293	13.736833
415.800013	4212.259657	24.671217
418.9195	4212.228042	13.980268
384.660515	4216.586728	9.686855
387.778584	4216.543161	11.916696
384.716418	4220.532013	15.241332
387.832974	4220.488433	16.658682
390.896642	4216.500789	16.229041
394.01469	4216.45961	15.800215
390.949521	4220.446048	22.191303
394.066057	4220.404857	25.271602
384.892701	4224.399525	21.979563
387.887409	4224.433728	28.284097
385.280794	4228.316451	29.382668
387.941886	4228.379045	34.112085
391.002442	4224.391329	32.780424
394.117465	4224.350126	38.389228
391.055405	4228.336634	38.056061
394.168914	4228.295418	47.006279
385.645934	4232.245959	36.51008
387.996407	4232.324386	40.191095
388.050971	4236.269749	38.199175
391.10841	4232.281962	44.136353
394.220404	4232.240734	47.803637
391.161458	4236.227312	37.702449
394.271935	4236.186072	43.025985
388.105578	4240.215135	36.711007
388.227979	4244.100529	39.239515
391.214547	4240.172685	36.174569
394.323507	4240.131432	37.582967
391.267679	4244.118081	42.091057
394.375119	4244.076816	41.460864
397.132728	4216.419627	12.927391
400.250757	4216.380837	3.952052
397.182583	4220.364861	27.686886
400.2991	4220.326059	24.710065
403.368776	4216.343242	-1.366072
406.486786	4216.306841	-2.075364
403.415608	4220.288453	16.593058
405.741555	4219.274729	-1.237217
407.299991	4219.256823	-8.349295
405.764413	4221.247336	16.452625
407.322472	4221.229427	7.438372
397.232479	4224.310118	42.956643
400.347483	4224.271305	46.242163
397.282414	4228.255398	51.605515
400.395903	4228.216573	61.69299
402.671914	4223.256668	40.797781
404.229599	4223.238159	40.735342
402.695547	4225.229292	55.348892
404.252854	4225.21078	66.141851
405.392119	4222.731319	33.936612
406.171007	4222.722289	35.727046
405.206027	4223.473319	51.170792
405.595436	4223.468785	56.024097
405.211781	4223.966474	63.7751
405.601166	4223.96194	62.701494
406.182396	4223.708597	56.24871
406.949894	4222.713334	31.508964
407.728781	4222.704453	33.104308
406.763661	4223.455296	43.200418
407.153069	4223.450836	21.712026
406.76932	4223.948449	58.909699
407.158704	4223.94399	56.249321
407.73998	4223.690759	32.628976
405.810157	4225.192567	77.651717
406.972485	4224.685949	74.301757
407.553701	4224.432703	61.074059
407.943062	4224.428281	52.995123
407.559315	4224.925857	85.221097
407.948651	4224.921435	88.036045
406.983783	4225.672258	87.703496
407.762386	4225.663375	94.550505
403.509384	4228.178943	78.059778
406.622856	4228.142509	93.004085
409.604788	4216.271634	12.33512
412.722781	4216.237621	35.979833
408.858425	4219.239215	3.822424
410.021796	4218.733056	21.557277
410.801059	4218.724477	35.67031
410.032703	4219.719355	27.085278
410.811872	4219.710775	45.847099
408.880528	4221.211817	12.735108
410.043613	4220.705655	34.263797
410.822686	4220.697074	54.399263
410.054524	4221.691956	40.065099
410.833503	4221.683374	63.363314
411.975287	4219.204896	59.419483
413.533715	4219.188184	69.741711
411.60176	4220.688568	71.963236
412.380832	4220.680136	87.220728
411.612482	4221.674868	86.264372
412.39146	4221.666435	102.610134
413.554683	4221.160778	96.994624
415.840766	4216.204802	36.10415
418.958744	4216.173178	12.576247
415.092141	4219.171771	60.396563
416.650565	4219.155657	42.469166
414.718047	4220.65529	75.741276
415.497118	4220.647157	58.699351
414.728392	4221.641587	81.280321
415.507368	4221.633454	57.613201
416.670777	4221.128245	29.002598
417.61709	4218.406018	31.334907
418.006731	4218.402083	37.56037
417.622082	4218.899164	67.022949
418.011699	4218.895228	66.218629
418.396371	4218.398166	39.889187
418.786012	4218.394268	13.514975
418.401316	4218.891312	34.635939
418.790933	4218.887414	11.255939
417.627075	4219.39231	64.602375
418.016669	4219.388374	51.680837
417.632069	4219.885456	42.12879
418.021639	4219.881521	22.382781
418.603526	4219.629079	8.459508
419.767407	4219.124323	-7.162444
418.228821	4221.112427	3.339976
419.786863	4221.096907	-25.581131
408.902639	4223.184424	41.34506
410.065438	4222.678258	40.178247
410.844323	4222.669676	66.252798
410.076354	4223.664563	48.107207
410.855144	4223.65598	62.211353
408.332422	4224.423877	51.111333
408.721782	4224.419492	58.678359
408.337988	4224.917031	63.914254
408.727325	4224.912646	81.069902
409.111143	4224.415126	70.854604
409.500502	4224.410778	69.566905
409.116661	4224.908279	85.970193
409.505998	4224.903931	80.657497
408.343555	4225.410185	83.427697
408.732868	4225.4058	88.058338
408.349122	4225.90334	98.678455
408.738411	4225.898954	105.911881
409.319591	4225.645834	103.155136
410.087272	4224.650868	77.463984
410.865967	4224.642285	80.500819
410.098192	4225.637175	94.516575
410.876793	4225.628591	94.07559
411.623207	4222.661169	91.553688
412.40209	4222.652736	112.193823
411.633933	4223.647472	83.193071
412.215361	4223.394564	101.442106
412.604767	4223.390366	117.345408
412.22069	4223.887716	89.779027
412.610072	4223.883517	103.987038
413.57566	4223.133378	114.392474
412.039351	4225.122702	90.518788
413.596645	4225.105983	107.438967
409.73632	4228.10727	97.084619
412.849775	4228.073226	87.783933
414.738738	4222.627886	88.537812
415.51762	4222.619752	64.773142
414.749087	4223.614186	90.82111
415.527874	4223.606052	71.573161
416.296501	4222.611692	32.1097
417.075382	4222.603708	10.420505
416.30666	4223.597991	39.773181
417.085446	4223.590006	20.104418
415.153936	4225.089562	81.243008
416.316822	4224.584292	45.52038
417.095513	4224.576306	29.813383
416.326985	4225.570594	61.455011
416.90841	4225.318022	45.177568
417.29772	4225.314047	34.657545
416.913456	4225.811173	59.248079
417.302743	4225.807198	49.603097
417.854262	4222.595798	-0.63344
418.633141	4222.587962	-18.30055
417.667037	4223.337491	3.411002
418.056442	4223.333555	-8.300116
417.672034	4223.830641	10.343764
418.061415	4223.826704	-5.089373
418.643017	4223.574259	-23.278276
419.806327	4223.069497	-41.159958
417.874204	4224.568395	11.862969
418.652895	4224.560558	-8.560959
417.884179	4225.554695	27.776498
418.662775	4225.546858	19.138264
419.431585	4224.552796	-22.227645
420.210275	4224.545109	-32.540049
419.44137	4225.539096	-0.969124
420.219965	4225.531408	-8.819181
414.780145	4226.573096	97.016737
415.558648	4226.564959	79.445809
414.790501	4227.559402	95.11175
415.56891	4227.551265	103.32261
416.337151	4226.556897	70.029765
417.115653	4226.54891	66.436298
416.347318	4227.543202	91.516122
417.125726	4227.535214	88.557571
414.603686	4228.301179	89.291021
414.992855	4228.297091	91.445751
414.608878	4228.794333	94.816685
414.998023	4228.790245	119.771816
415.382024	4228.293022	113.28923
415.771192	4228.288972	120.904796
415.387168	4228.786176	145.223528
415.776313	4228.782126	124.977462
414.811221	4229.532019	100.893244
415.392313	4229.27933	119.32037
415.781434	4229.27528	103.817195
415.397458	4229.772485	101.901725
415.786556	4229.768434	93.032978
416.751706	4229.018659	88.550419
417.894155	4226.540998	52.99148
418.672656	4226.53316	42.995609
417.904133	4227.527301	74.355319
418.68254	4227.519463	56.975715
419.254079	4226.280755	22.228222
419.643341	4226.276892	13.874432
419.258985	4226.773906	37.370279
419.648223	4226.770043	32.122672
420.032603	4226.273048	9.097579
420.421865	4226.269223	6.348477
420.037462	4226.766199	27.394349
420.4267	4226.762373	22.160439
419.460946	4227.511699	47.830943
420.239352	4227.50401	41.552089
418.308237	4229.002831	69.8428
419.864765	4228.987301	55.895887
397.332388	4232.200701	54.615162
400.444363	4232.161864	68.924412
397.382402	4236.146027	50.552383
400.492861	4236.107179	60.320526
403.556328	4232.124223	78.005902
406.668285	4232.087778	84.847361
403.60331	4236.069527	63.826934
406.71375	4236.03307	67.041799
397.432456	4240.091376	47.136307
400.541397	4240.052516	55.493914
397.48255	4244.036748	46.470139
400.589971	4243.997877	52.879162
403.650328	4240.014853	58.611024
406.759251	4239.978386	54.521322
403.697384	4243.960202	52.754603
406.804788	4243.923724	46.882249
409.780234	4232.052528	80.422089
412.892174	4232.018474	72.505794
409.824182	4235.99781	62.908716
412.934606	4235.963746	54.912202
416.004106	4231.985616	65.751895
419.11603	4231.953952	58.26037
416.045022	4235.930877	51.319174
419.15543	4235.899204	46.175934
409.868166	4239.943115	51.223196
412.977072	4239.90904	43.903124
409.912184	4243.888443	38.388014
413.019571	4243.854358	29.353254
416.08597	4239.876162	40.394749
419.194861	4239.84448	39.534599
416.126951	4243.82147	26.55722
419.234324	4243.789778	30.995229
428.145922	4189.424925	-6.965719
431.258159	4189.13853	-11.135275
421.850766	4192.472341	7.95676
424.977771	4192.443159	-3.180401
421.888349	4196.41735	3.926674
425.01385	4196.388159	3.358969
428.104769	4192.415169	-3.962417
431.231761	4192.38837	2.012902
428.139344	4196.36016	7.065198
431.264831	4196.333353	5.571313
434.37518	4188.852058	-13.152311
436.690824	4187.653734	-19.22537
438.250695	4187.510217	-8.384243
436.681167	4189.385629	1.15513
438.245218	4189.373722	6.888783
440.586909	4188.373966	4.568745
443.712629	4188.348163	-0.927805
434.358745	4192.362763	7.411851
437.485723	4192.338348	-0.393329
434.390311	4196.307738	-3.02786
437.515786	4196.283315	-7.617041
440.612696	4192.315124	-7.191623
443.739662	4192.293092	-9.666612
440.641254	4196.260084	-10.993853
443.766717	4196.238045	-3.743627
421.925961	4200.362383	2.289261
425.049957	4200.333183	6.130982
421.963604	4204.307439	4.956404
425.086094	4204.278229	3.960512
428.173946	4200.305175	5.230465
431.297928	4200.278359	1.61635
428.208576	4204.250213	0.060624
431.331051	4204.223389	-0.987884
422.001277	4208.252518	5.001102
425.122259	4208.2233	-1.649569
422.03898	4212.197621	-1.233133
425.158453	4212.168393	-15.128025
428.243233	4208.195274	-7.67369
431.364201	4208.168442	-11.478082
428.277919	4212.140359	-23.832371
431.397378	4212.113519	-28.226655
434.421903	4200.252736	-3.604147
437.545872	4200.228305	-1.575992
434.45352	4204.197758	-1.509949
437.575983	4204.173319	-7.173189
440.669836	4200.205067	-5.233122
443.793793	4200.183021	-6.315758
440.69844	4204.150074	-12.330718
443.820891	4204.128021	-12.915032
434.485163	4208.142803	-10.745576
437.606118	4208.118357	-12.742819
434.51683	4212.087872	-27.476842
437.636277	4212.063418	-25.620673
440.727067	4208.095104	-14.593274
443.848011	4208.073044	-12.238443
440.755717	4212.040158	-20.17276
443.875153	4212.018092	-19.008772
446.841093	4188.327329	-5.916687
449.969552	4188.307687	-9.513898
453.14075	4185.167963	-10.126339
456.041361	4184.957981	-5.955332
453.098006	4188.289235	-13.000379
456.216219	4188.28313	-9.133727
446.866623	4192.272252	-7.469813
449.993579	4192.252603	-9.684812
446.892174	4196.217198	-4.745687
450.017626	4196.197543	-10.384385
453.120531	4192.234145	-13.374228
456.247477	4192.216879	-16.371198
453.143074	4196.179079	-13.084019
456.268517	4196.161808	-17.60447
446.917745	4200.162167	-8.905292
450.041693	4200.142506	-13.699917
446.943337	4204.107161	-14.862688
450.065778	4204.087493	-18.319353
453.165635	4200.124037	-16.887587
456.289573	4200.10676	-20.386113
453.188215	4204.069018	-18.012583
456.310646	4204.051736	-18.623386
446.96895	4208.052178	-9.487201
450.089883	4208.032504	-10.064505
446.994582	4211.997218	-15.222313
450.114007	4211.977539	-15.557571
453.210812	4208.014023	-15.395751
456.331737	4207.996736	-21.600459
453.233428	4211.959052	-22.324372
456.352844	4211.941759	-29.525694
458.697758	4200.170826	-20.866483
458.952502	4204.146649	-20.499393
459.321715	4208.064987	-26.035748
459.472255	4211.92566	-31.17332
422.076714	4216.142747	-15.332665
425.194676	4216.11351	-41.724488
421.325825	4219.109104	-27.574873
422.884241	4219.094184	-41.443698
421.344903	4221.081686	-45.748256
422.902942	4221.066763	-59.983067
425.230928	4220.058651	-65.457381
428.312632	4216.085468	-52.351534
431.430581	4216.058619	-50.277829
428.347373	4220.030599	-69.348037
431.46381	4220.003742	-63.70461
421.363989	4223.054273	-54.281086
422.921649	4223.039349	-62.516771
420.988964	4224.537496	-40.265091
421.767653	4224.529958	-43.53008
420.99856	4225.523795	-16.892418
421.777154	4225.516256	-21.487119
422.546341	4224.522495	-45.537129
423.325029	4224.515106	-44.173673
422.555748	4225.508792	-25.312364
423.334341	4225.501403	-23.722723
424.479308	4223.024722	-65.852508
426.036964	4223.010395	-64.935498
424.103716	4224.507793	-45.026816
424.882403	4224.500553	-44.232428
424.112934	4225.494089	-23.983128
424.891526	4225.486849	-25.097152
425.66109	4224.493389	-45.155413
426.439776	4224.486299	-50.03662
425.670118	4225.479684	-26.218031
426.448709	4225.472593	-32.467708
421.008158	4226.510095	9.374793
421.786657	4226.502555	5.055688
421.017757	4227.496396	35.881601
421.796162	4227.488856	28.656494
422.565156	4226.495091	0.978067
423.343655	4226.487701	0.138535
422.574567	4227.481391	27.078124
423.352971	4227.474001	22.337208
421.421292	4228.972071	50.503097
422.977817	4228.957139	48.639901
424.122153	4226.480386	-0.106675
424.900651	4226.473146	-2.190029
424.131374	4227.466685	21.05427
424.909777	4227.459445	18.753668
425.679148	4226.46598	-5.906691
426.457645	4226.458889	-9.75609
425.68818	4227.452278	14.334995
426.466582	4227.445187	9.940188
424.53434	4228.942507	43.684036
426.090861	4228.928173	35.741892
427.594619	4222.996366	-63.219607
429.152273	4222.982636	-59.194822
427.6122	4224.968951	-42.1931
429.169475	4224.955218	-36.537535
430.709925	4222.969204	-57.989739
432.267575	4222.956071	-58.12221
430.726748	4224.941785	-36.018603
432.28402	4224.92865	-41.327782
427.039301	4226.207046	-27.277786
427.428561	4226.203557	-23.502192
427.043734	4226.700194	-7.875457
427.43297	4226.696705	-13.459229
428.014637	4226.444931	-17.026689
427.244984	4227.43817	7.315286
428.023386	4227.431228	6.37304
428.793133	4226.438065	-16.276462
429.571628	4226.431272	-12.046687
428.801787	4227.42436	6.700118
429.580187	4227.417568	3.819057
427.647381	4228.914137	28.394602
429.203899	4228.900401	26.500886
430.350123	4226.424555	-16.042145
431.128618	4226.417912	-16.430279
430.358587	4227.41085	-1.106879
431.136987	4227.404206	2.828056
431.907112	4226.411344	-14.711153
432.685605	4226.40485	-21.371827
431.915387	4227.397637	5.309195
432.693786	4227.391143	2.367257
430.760416	4228.886963	26.251093
432.316931	4228.873824	30.496111
434.548523	4216.032964	-45.361482
437.66646	4216.008503	-40.290922
434.580242	4219.97808	-57.421781
437.696667	4219.953611	-53.753965
440.784391	4215.985236	-30.537264
443.902316	4215.963162	-26.250787
440.813087	4219.930337	-45.234084
443.929501	4219.908257	-31.863738
434.611985	4223.923219	-53.812146
437.726898	4223.898743	-53.553756
433.464099	4226.398431	-23.529556
434.242592	4226.392087	-25.788754
433.472184	4227.384724	-1.347137
434.250583	4227.378379	-7.208515
435.414255	4226.875856	-23.371775
433.480272	4228.371018	19.319907
434.258575	4228.364673	12.394655
433.488361	4229.357314	35.826162
434.26657	4229.350969	29.420875
435.429956	4228.848443	9.696258
436.971143	4226.863616	-26.765607
438.528031	4226.851673	-28.62294
436.986466	4228.8362	-0.515833
438.542975	4228.824256	-3.851778
440.841805	4223.875461	-46.891026
443.956707	4223.853375	-29.465064
440.084917	4226.84003	-29.844295
441.641802	4226.828685	-26.620861
440.099483	4228.812611	-6.78277
441.655989	4228.801265	-6.798153
443.983935	4227.798516	-12.646517
422.227948	4231.923485	55.510022
425.339858	4231.894212	54.121226
422.265831	4235.868728	47.164392
425.376225	4235.839447	47.996864
428.451761	4231.866136	43.045215
431.563658	4231.839254	40.634327
428.486612	4235.811361	41.023843
431.596993	4235.784472	38.789801
422.303745	4239.813994	39.014235
425.412622	4239.784704	39.251871
422.341689	4243.759284	32.148428
425.449047	4243.729985	35.674192
428.521491	4239.75661	37.910618
431.630355	4239.729713	31.997874
428.556398	4243.701883	31.147415
431.663743	4243.674978	25.948212
434.675548	4231.813568	38.638249
437.787433	4231.789077	22.736218
434.707368	4235.758778	40.210702
437.817736	4235.73428	31.489879
440.899312	4231.765782	16.666405
444.011185	4231.743681	7.542307
440.928099	4235.710977	24.278833
444.038457	4235.68887	16.722661
434.739212	4239.704011	29.01897
437.848064	4239.679506	23.827534
434.771082	4243.649268	17.192448
437.878415	4243.624756	13.080943
440.956909	4239.656196	19.72403
444.06575	4239.634083	16.386356
440.985742	4243.601439	12.32823
444.093065	4243.579319	11.77929
447.020236	4215.942283	-25.483821
450.138151	4215.922597	-25.182521
447.04591	4219.887371	-26.409678
450.162314	4219.867679	-21.90721
453.256061	4215.904105	-19.636221
456.373967	4215.886806	-14.967184
453.278713	4219.849181	-15.050724
456.395108	4219.831877	-15.28395
447.071604	4223.832482	-19.917492
450.186496	4223.812784	-13.143497
447.097319	4227.777617	-6.318406
450.210697	4227.757914	-2.657003
453.301383	4223.794281	-11.551974
456.416266	4223.776972	-9.61416
453.324071	4227.739405	-3.243593
456.43744	4227.72209	-2.026746
459.491869	4215.870702	-15.481451
459.511499	4219.815768	-20.900091
462.209076	4219.909858	-22.749662
459.531144	4223.760857	-7.300125
462.562685	4223.808321	-11.039959
459.550805	4227.705971	-3.596189
462.664167	4227.691046	-9.246464
447.123054	4231.722776	6.262715
450.234917	4231.703067	5.710915
447.148809	4235.667959	9.448726
450.259157	4235.648243	7.181042
453.346776	4231.684552	3.754517
456.458631	4231.667233	1.412097
453.3695	4235.629723	7.539779
456.479839	4235.612399	4.468731
447.174585	4239.613165	12.144325
450.283416	4239.593444	7.640126
447.200382	4243.558396	10.695295
450.307694	4243.538668	7.39052
453.392242	4239.574918	7.832788
456.501064	4239.557588	5.556785
453.415002	4243.520137	4.131665
456.522306	4243.502802	0.051894
459.570482	4231.651108	-0.82354
462.682329	4231.636179	-7.441177
